SYMB,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,front,round,tense,rtr,long,splng,stres,prim
ʀ,-,+,+,+,0,-,-,+,+,-,-,-,-,0,-,-,-,+,-,-,0,-,-,-,0,0
ʀ̆,-,+,+,-,0,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,-,-,0,0
ʁ̝,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,-,-,0,0
ħ,-,-,+,+,0,-,-,-,-,-,-,-,-,0,-,-,+,+,-,-,0,-,-,-,0,0
ħʷ,-,-,+,+,0,-,-,-,-,-,-,-,-,0,+,-,+,+,-,+,0,-,-,-,0,0
ʕ,-,-,+,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,0,-,-,-,0,0
ʕʷ,-,-,+,+,0,-,-,-,+,-,-,-,-,0,+,-,+,+,-,+,0,-,-,-,0,0
ʜ,-,+,+,+,0,-,-,-,-,-,-,-,-,0,-,-,+,+,-,-,0,-,-,-,0,0
ʢ,-,+,+,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,0,-,-,-,0,0
ʕ̞,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,-,+,+,-,-,0,-,-,-,0,0
ʔ,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,0,0
h,-,-,-,+,0,-,-,-,-,+,-,-,-,0,-,-,-,-,-,-,0,-,-,-,0,0
ɦ,-,-,-,+,0,-,-,-,+,+,-,-,-,0,-,-,-,-,-,-,0,-,-,-,0,0
j,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,+,-,-,-,0,0
j̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,-,+,-,+,-,-,-,0,0
i,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,+,-,-,-,-,-
ˌi,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,+,-,-,-,+,-
ˈi,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,+,-,-,-,+,+
ĩ,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,-,+,-,+,-,-,-,-,-
ˌĩ,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,-,+,-,+,-,-,-,+,-
ˈĩ,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,-,+,-,+,-,-,-,+,+
iː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,+,-,+,-,-,-
ˌiː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,+,-,+,-,+,-
ˈiː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,+,-,+,-,+,+
ĩː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,-,+,-,+,-,+,-,-,-
ˌĩː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,-,+,-,+,-,+,-,+,-
ˈĩː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,-,+,-,+,-,+,-,+,+
ɥ,-,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,-,+,+,+,-,-,-,0,0
ɥ̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,-,+,+,+,-,-,-,0,0
y,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,-,+,+,+,-,-,-,-,-
ˌy,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,-,+,+,+,-,-,-,+,-
ˈy,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,-,+,+,+,-,-,-,+,+
ỹ,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,-,+,+,+,-,-,-,-,-
ˌỹ,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,-,+,+,+,-,-,-,+,-
ˈỹ,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,-,+,+,+,-,-,-,+,+
yː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,-,+,+,+,-,+,-,-,-
ˌyː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,-,+,+,+,-,+,-,+,-
ˈyː,+,+,-,+,0,-,-,-,+,-,-,-,-,0,+,+,-,-,+,+,+,-,+,-,+,+
ỹː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,-,+,+,+,-,+,-,-,-
ˌỹː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,-,+,+,+,-,+,-,+,-
ˈỹː,+,+,-,+,0,-,+,-,+,-,-,-,-,0,+,+,-,-,+,+,+,-,+,-,+,+
ɪ̯,-,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,-,-,-,-,0,0
ɪ̯̃,-,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,-,+,-,-,-,-,-,0,0
ɪ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,-,-,-,-,-,-
ˌɪ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,-,-,-,-,+,-
ˈɪ,+,+,-,+,0,-,-,-,+,-,-,-,-,0,-,+,-,-,+,-,-,-,-,-,+,+
ɪ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,-,+,-,-,-,-,-,-,-
ˌɪ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,-,+,-,-,-,-,-,+,-
ˈɪ̃,+,+,-,+,0,-,+,-,+,-,-,-,-,0,-,+,-,-,+,-,-,-,-,-,+,+
