etID  | Input | Late Latin | Old French I | Old French II | Middle French  | Output {GOLD}
51     | #ˈɑːkrum# | *#ˈɑkro# | *#ˈajrə# | *#ˈɛrə# | *#ˈɛrə# | *#ɛʁ# {GOLD: #ɛɡʁ#}
52     | #ˈɑksem# | *#ˈɑxsɛ# | *#ˈajs# | *#ˈɛːs# | *#ˈɛːs# | *#ɛ# {GOLD: #ɛ#}
53     | #ˌɑksˈillɑm# | *#ˌɑxsˈellɑ# | *#ˌajsˈelə# | *#ˌɛsˈɛlə# | *#ˌɛsˈɛlə# | *#ɛsɛl# {GOLD: #ɛsɛl#}
54     | #ˈɑkwɑm# | *#ˈɑkwɑ# | *#ˈɛːwə# | *#e̯ˈawə# | *#ə̯ˈoː# | *#o# {GOLD: #o#}
55     | #ˈɑkwɑːs# | *#ˈɑkwɑs# | *#ˈɛːwəs# | *#e̯ˈawəs# | *#ə̯ˈoː# | *#o# {GOLD: #o#}
56     | #ˌɑkwɑriˈoːlɑ# | *#ˌɑkwɑrʝˈolɑ# | *#ˌajvejrˈowlə# | *#ˌɛvwɛrˈølə# | *#ˌɛvwɛrˈølə# | *#ɛvwaʁœl# {GOLD: #evʁol#}
57     | #ˌɑkwˈɑːrium# | *#ˌɑkwˈɑrʝo# | *#ˌajvjˈie̯r# | *#ˌɛvjˈer# | *#ˌɛvjˈer# | *#ɛvje# {GOLD: #evje#}
58     | #ˈɑkwilɑm# | *#ˈɑkwelɑ# | *#ˈaʎə# | *#ˈaʎə# | *#ˈaʎə# | *#ɑj# {GOLD: #ɑj#}
59     | #ˌɑkˈuːkulɑm# | *#ˌɑkˈuklɑ# | *#ˌaˈyʎə# | *#ˌəɥˈiʎə# | *#ə̯ɥˈiʎə# | *#ɥij# {GOLD: #ɛɡɥij#}
60     | #ˌɑkˌuːkulˈɑːrium# | *#ˌɑkˌukolˈɑrʝo# | *#ˌajˌylˈie̯r# | *#ˌajˌyljˈer# | *#ˌajˌyljˈer# | *#ajylje# {GOLD: #ɛɡɥije#}
61     | #ˌɑkˌuːt̪iˈɑːre# | *#ˌɑkˌut͡sʲʝˈɑrɛ# | *#ˌajˌyjd͡zʲˈie̯r# | *#ˌajɥˌizʲjˈer# | *#ˌajɥˌizˈer# | *#ajɥize# {GOLD: #ɛɡɥize#}
62     | #ˌɑkˈuːt̪um# | *#ˌɑkˈut̪o# | *#ˌaˈyθ# | *#ˌəˈy# | *#ə̯ˈy# | *#y# {GOLD: #ɛɡy#}
63     | #ˈɑln̪um# | *#ˈɑɫn̪o# | *#ˈaɫn̪ə# | *#ˈawn̪ə# | *#ˈoːn̪ə# | *#on̪# {GOLD: #on̪#}
64     | #ˌɑmˈɑːrɑm# | *#ˌɑmˈɑrɑ# | *#ˌãmˈeːrə# | *#ˌãmˈerə# | *#ˌãmˈerə# | *#amɛʁ# {GOLD: #amɛʁ#}
65     | #ˌɑmˈɑːrum# | *#ˌɑmˈɑro# | *#ˌãmˈeːr# | *#ˌãmˈer# | *#ˌãmˈer# | *#ame# {GOLD: #amɛʁ#}
66     | #ˈɑmɑt̪# | *#ˈɑmɑt̪# | *#ˈãj̃məθ# | *#ˈɛ̃j̃mə# | *#ˈɛ̃mə# | *#ɛm# {GOLD: #ɛm#}
67     | #ˌɑmˈiːkɑm# | *#ˌɑmˈikɑ# | *#ˌãmˈiə# | *#ˌãmˈiə# | *#ˌãmˈiː# | *#ami# {GOLD: #ami#}
68     | #ˌɑmˈiːkɑːs# | *#ˌɑmˈikɑs# | *#ˌãmˈiəs# | *#ˌãmˈiəs# | *#ˌãmˈiː# | *#ami# {GOLD: #ami#}
69     | #ˌɑmˈiːkoːs# | *#ˌɑmˈikos# | *#ˌãmˈis# | *#ˌãmˈiːs# | *#ˌãmˈiːs# | *#ami# {GOLD: #ami#}
70     | #ˌɑmˈiːkum# | *#ˌɑmˈiko# | *#ˌãmˈi# | *#ˌãmˈi# | *#ˌãmˈi# | *#ami# {GOLD: #ami#}
71     | #ˌɑmˌiːkit̪ˈɑːt̪em# | *#ˌɑmˌicet̪ˈɑt̪ɛ# | *#ˌãmˌit͡sʲt̪ˈie̯θ# | *#ˌãmˌiːt̪jˈe# | *#ˌãmˌiːt̪jˈe# | *#amit̪je# {GOLD: #amit̪je#}
72     | #ˈɑmplum# | *#ˈɑmplo# | *#ˈãmplə# | *#ˈãn̪plə# | *#ˈãːplə# | *#ɑ̃pl# {GOLD: #ɑ̃pl#}
73     | #ˌɑmpˈullɑm# | *#ˌɑmpˈollɑ# | *#ˌãmpˈolə# | *#ˌãn̪pˈulə# | *#ˌãːpˈulə# | *#ɑ̃pul# {GOLD: #ɑ̃pul#}
74     | #ˈɑn̪ɑt̪em# | *#ˈɑn̪ɑt̪ɛ# | *#ˈãj̃n̪əθ# | *#ˈɛ̃j̃n̪ə# | *#ˈɛ̃n̪ə# | *#ɛn̪# {GOLD: #an̪#}
75     | #ˌɑn̪d̪eːkˈɑːn̪eːs# | *#ˌɑn̪d̪ekˈɑn̪es# | *#ˌãn̪d͡ʒˈãn̪s# | *#ˌãn̪ʒˈãn̪s# | *#ˌãːʒˈãːs# | *#ɑ̃ʒɑ̃# {GOLD: #ɑ̃ʒɛʁ#}
76     | #ˌɑn̪d̪eːkˈɑːwum# | *#ˌɑn̪d̪ekˈɑo# | *#ˌãn̪d͡ʒˈɔw# | *#ˌãn̪ʒˈu# | *#ˌãːʒˈu# | *#ɑ̃ʒu# {GOLD: #ɑ̃ʒu#}
77     | #ˌɑn̪ˈellum# | *#ˌɑn̪ˈɛllo# | *#ˌãn̪ˈɛl# | *#ˌãn̪e̯ˈaw# | *#ˌãn̪ə̯ˈoː# | *#an̪o# {GOLD: #an̪o#}
78     | #ˈɑn̪ɡulum# | *#ˈɑŋɡlo# | *#ˈãŋɡlə# | *#ˈãŋɡlə# | *#ˈãːɡlə# | *#ɑ̃ɡl# {GOLD: #ɑ̃ɡl#}
79     | #ˌɑn̪ɡˈust̪iɑm# | *#ˌɑŋɡˈost͡sʲʝɑ# | *#ˌãŋɡˈojsə# | *#ˌãŋɡwˈɛːsə# | *#ˌãːɡwˈɛːsə# | *#ɑ̃ɡwas# {GOLD: #ɑ̃ɡwas#}
80     | #ˌɑn̪ɡˌust̪iˈoːsum# | *#ˌɑŋɡˌost͡sʲʝˈoso# | *#ˌãŋɡˌojsˈows# | *#ˌãŋɡwˌɛsˈøːs# | *#ˌãːɡwˌɛsˈøːs# | *#ɑ̃ɡwasø# {GOLD: #ɑ̃ɡwasø#}
81     | #ˈɑn̪imɑm# | *#ˈɑn̪emɑ# | *#ˈaɫmə# | *#ˈawmə# | *#ˈoːmə# | *#om# {GOLD: #om#}
82     | #ˌɑn̪imˈɑːliɑ# | *#ˌɑn̪emˈɑlʝɑ# | *#ˌaɫmˈaʎə# | *#ˌawmˈaʎə# | *#ˌoːmˈaʎə# | *#omɑj# {GOLD: #omɑj#}
83     | #ˈɑn̪korɑm# | *#ˈɑŋkɔrɑ# | *#ˈãŋkrə# | *#ˈãŋkrə# | *#ˈãːkrə# | *#ɑ̃kʁ# {GOLD: #ɑ̃kʁ#}
84     | #ˌɑn̪n̪ˈɑːt̪ɑm# | *#ˌɑn̪n̪ˈɑt̪ɑ# | *#ˌãn̪ˈeːðə# | *#ˌãn̪ˈeə# | *#ˌãn̪ˈeː# | *#an̪e# {GOLD: #an̪e#}
85     | #ˈɑn̪n̪um# | *#ˈɑn̪n̪o# | *#ˈãn̪# | *#ˈãn̪# | *#ˈãː# | *#ɑ̃# {GOLD: #ɑ̃#}
86     | #ˈɑn̪n̪oːs# | *#ˈɑn̪n̪os# | *#ˈãn̪t͡s# | *#ˈãn̪s# | *#ˈãːs# | *#ɑ̃# {GOLD: #ɑ̃#}
87     | #ˈɑpium# | *#ˈɑpʝo# | *#ˈat͡ʃə# | *#ˈaʃə# | *#ˈaʃə# | *#aʃ# {GOLD: #aʃ#}
88     | #ˌɑprˈiːlem# | *#ˌɑprˈilɛ# | *#ˌavrˈil# | *#ˌavrˈil# | *#ˌavrˈil# | *#avʁil# {GOLD: #avʁil#}
89     | #ˈɑrbrem# | *#ˈɑrbrɛ# | *#ˈarbrə# | *#ˈarbrə# | *#ˈarbrə# | *#aʁbʁ# {GOLD: #aʁbʁ#}
